CHI_LOW,CHI_UP,CHI,EEC,STAT,SYS,Q,ERROR,BinSize
3.6,7.2,5.4,0.468,0.0084,0.0034,29.0,0.009062008607367352,3.6
7.2,10.8,9.0,0.576,0.0084,0.0074,29.0,0.011194641575325223,3.6
10.8,14.4,12.6,0.589,0.0074,0.0074,29.0,0.010465180361560904,3.6
14.4,18.0,16.2,0.557,0.0074,0.0044,29.0,0.008609297300012354,3.6
18.0,21.6,19.8,0.489,0.0064,0.0034,29.0,0.007247068372797375,3.6
21.6,25.2,23.4,0.405,0.0054,0.0034,29.0,0.006381222453417527,3.6
25.2,28.8,27.0,0.347,0.0054,0.0024,29.0,0.005909314681077663,3.6
28.8,32.4,30.6,0.299,0.0044,0.0024,29.0,0.005011985634456667,3.6
32.4,36.0,34.2,0.26,0.0044,0.0024,29.0,0.005011985634456667,3.6
36.0,39.6,37.8,0.228,0.0034,0.0024,29.0,0.004161730409336962,3.6
39.6,43.2,41.4,0.209,0.0034,0.0014,29.0,0.003676955262170047,3.6
43.2,46.8,45.0,0.19,0.0034,0.0014,29.0,0.003676955262170047,3.6
46.8,50.4,48.6,0.167,0.0034,0.0014,29.0,0.003676955262170047,3.6
50.4,54.0,52.2,0.156,0.0034,0.0014,29.0,0.003676955262170047,3.6
54.0,57.6,55.8,0.149,0.0034,0.0014,29.0,0.003676955262170047,3.6
57.6,61.2,59.4,0.142,0.0034,0.0014,29.0,0.003676955262170047,3.6
61.2,64.8,63.0,0.132,0.0034,0.0014,29.0,0.003676955262170047,3.6
64.8,68.4,66.6,0.128,0.0024,0.0014,29.0,0.0027784887978899607,3.6
68.4,72.0,70.2,0.123,0.0024,0.0014,29.0,0.0027784887978899607,3.6
72.0,75.6,73.8,0.119,0.0024,0.0014,29.0,0.0027784887978899607,3.6
75.6,79.2,77.4,0.121,0.0034,0.0014,29.0,0.003676955262170047,3.6
79.2,82.8,81.0,0.116,0.0024,0.0014,29.0,0.0027784887978899607,3.6
82.8,86.4,84.6,0.118,0.0024,0.0014,29.0,0.0027784887978899607,3.6
86.4,90.0,88.2,0.117,0.0024,0.0014,29.0,0.0027784887978899607,3.6
90.0,93.6,91.8,0.117,0.0034,0.0014,29.0,0.003676955262170047,3.6
93.6,97.2,95.4,0.121,0.0034,0.0014,29.0,0.003676955262170047,3.6
97.2,100.8,99.0,0.121,0.0034,0.0014,29.0,0.003676955262170047,3.6
100.8,104.4,102.6,0.119,0.0024,0.0014,29.0,0.0027784887978899607,3.6
104.4,108.0,106.2,0.13,0.0034,0.0014,29.0,0.003676955262170047,3.6
108.0,111.6,109.8,0.137,0.0034,0.0014,29.0,0.003676955262170047,3.6
111.6,115.2,113.4,0.147,0.0034,0.0014,29.0,0.003676955262170047,3.6
115.2,118.8,117.0,0.152,0.0034,0.0014,29.0,0.003676955262170047,3.6
118.8,122.4,120.6,0.159,0.0034,0.0014,29.0,0.003676955262170047,3.6
122.4,126.0,124.2,0.175,0.0034,0.0014,29.0,0.003676955262170047,3.6
126.0,129.6,127.8,0.188,0.0034,0.0014,29.0,0.003676955262170047,3.6
129.6,133.2,131.4,0.21,0.0044,0.0014,29.0,0.004617358552246078,3.6
133.2,136.8,135.0,0.226,0.0044,0.0024,29.0,0.005011985634456667,3.6
136.8,140.4,138.6,0.256,0.0044,0.0024,29.0,0.005011985634456667,3.6
140.4,144.0,142.2,0.296,0.0054,0.0024,29.0,0.005909314681077663,3.6
144.0,147.6,145.8,0.333,0.0054,0.0034,29.0,0.006381222453417527,3.6
147.6,151.2,149.4,0.384,0.0064,0.0034,29.0,0.007247068372797375,3.6
151.2,154.8,153.0,0.463,0.0074,0.0044,29.0,0.008609297300012354,3.6
154.8,158.4,156.6,0.531,0.0074,0.0054,29.0,0.00916078599247903,3.6
158.4,162.0,160.2,0.633,0.0084,0.0064,29.0,0.010560303025955268,3.6
162.0,165.6,163.8,0.723,0.0094,0.0074,29.0,0.011963277142990544,3.6
165.6,169.2,167.4,0.783,0.011,0.0044,29.0,0.011847362575695908,3.6
169.2,172.8,171.0,0.79,0.012,0.0054,29.0,0.013159027319676785,3.6
172.8,176.4,174.6,0.626,0.011,0.01,29.0,0.014866068747318505,3.6
176.4,180.0,178.2,0.243,0.0074,0.0064,29.0,0.009783659846908007,3.6
