CHI,EEC,STAT,Q,ERROR,BinSize
5.4,0.43,0.021,29.0,0.021,3.6
9.0,0.58,0.025,29.0,0.025,3.6
12.6,0.589,0.019,29.0,0.019,3.6
16.2,0.56,0.013,29.0,0.013,3.6
19.8,0.493,0.01,29.0,0.01,3.6
23.4,0.424,0.01,29.0,0.01,3.6
27.0,0.36,0.01,29.0,0.01,3.6
30.6,0.306,0.012,29.0,0.012,3.6
34.2,0.267,0.0084,29.0,0.0084,3.6
37.8,0.241,0.0054,29.0,0.0054,3.6
41.4,0.217,0.0054,29.0,0.0054,3.6
45.0,0.197,0.0064,29.0,0.0064,3.6
48.6,0.18,0.0064,29.0,0.0064,3.6
52.2,0.167,0.0054,29.0,0.0054,3.6
55.8,0.155,0.0044,29.0,0.0044,3.6
59.4,0.148,0.0034,29.0,0.0034,3.6
63.0,0.139,0.0044,29.0,0.0044,3.6
66.6,0.134,0.0034,29.0,0.0034,3.6
70.2,0.129,0.0044,29.0,0.0044,3.6
73.8,0.127,0.0044,29.0,0.0044,3.6
77.4,0.125,0.0034,29.0,0.0034,3.6
81.0,0.122,0.0044,29.0,0.0044,3.6
84.6,0.122,0.0034,29.0,0.0034,3.6
88.2,0.122,0.0034,29.0,0.0034,3.6
91.8,0.123,0.0034,29.0,0.0034,3.6
95.4,0.125,0.0034,29.0,0.0034,3.6
99.0,0.128,0.0034,29.0,0.0034,3.6
102.6,0.133,0.0034,29.0,0.0034,3.6
106.2,0.136,0.0044,29.0,0.0044,3.6
109.8,0.143,0.0034,29.0,0.0034,3.6
113.4,0.149,0.0044,29.0,0.0044,3.6
117.0,0.158,0.0034,29.0,0.0034,3.6
120.6,0.169,0.0044,29.0,0.0044,3.6
124.2,0.182,0.0044,29.0,0.0044,3.6
127.8,0.197,0.0054,29.0,0.0054,3.6
131.4,0.217,0.0064,29.0,0.0064,3.6
135.0,0.241,0.0074,29.0,0.0074,3.6
138.6,0.269,0.0084,29.0,0.0084,3.6
142.2,0.302,0.011,29.0,0.011,3.6
145.8,0.343,0.013,29.0,0.013,3.6
149.4,0.392,0.014,29.0,0.014,3.6
153.0,0.451,0.016,29.0,0.016,3.6
156.6,0.518,0.019,29.0,0.019,3.6
160.2,0.595,0.025,29.0,0.025,3.6
163.8,0.682,0.024,29.0,0.024,3.6
167.4,0.747,0.015,29.0,0.015,3.6
171.0,0.743,0.013,29.0,0.013,3.6
174.6,0.575,0.013,29.0,0.013,3.6
178.2,0.241,0.016,29.0,0.016,3.6
