a_D1,b_D1,chi2_shape,eval_time
-1.0,1.0,789.9911043034391,0.030682665
1.0,1.0,789.9911043034391,0.024597266
0.33333333333333326,1.0,793.3155331427959,0.026345536
-0.33333333333333337,1.0,793.3155331427963,0.026852463
0.0,1.0,793.7613015911887,0.022891874
0.6666666666666665,1.0,795.5803853267787,0.022256369
-0.6666666666666667,1.0,795.5803853267789,0.025171517
-1.0,0.6666666666666665,1796.061148103037,0.041692337
1.0,0.6666666666666665,1796.0611481030385,0.028167507
-0.6666666666666667,0.6666666666666665,1797.3576584917262,0.026775933
0.6666666666666665,0.6666666666666665,1797.3576584917264,0.027356146
0.33333333333333326,0.6666666666666665,1799.0907681080762,0.02230132
-0.33333333333333337,0.6666666666666665,1799.090768108077,0.023632405
0.0,0.6666666666666665,1800.0710100625042,0.026457101
-1.0,0.33333333333333326,2757.344199491148,0.029480132
1.0,0.33333333333333326,2757.344199491148,0.026879169
-0.6666666666666667,0.33333333333333326,2758.763554407261,0.022962887
0.6666666666666665,0.33333333333333326,2758.763554407261,0.023614098
0.33333333333333326,0.33333333333333326,2760.2464723426183,0.027875567
-0.33333333333333337,0.33333333333333326,2760.2464723426187,0.026017564
0.0,0.33333333333333326,2761.9631073070714,0.023135164
-0.33333333333333337,0.0,3573.5640171949854,0.024284448
0.33333333333333326,0.0,3573.5640171949867,0.022554853
1.0,0.0,3575.341305370872,0.026009056
-1.0,0.0,3575.3413053708723,0.053584331
0.0,0.0,3575.363327518484,0.02772797
-0.6666666666666667,0.0,3577.7382610258664,0.025687438
0.6666666666666665,0.0,3577.738261025867,0.023697707
-0.6666666666666667,-0.33333333333333337,4236.40961667505,0.022918729
0.6666666666666665,-0.33333333333333337,4236.40961667505,0.02172163
0.33333333333333326,-0.33333333333333337,4236.588945648857,0.024656994
-0.33333333333333337,-0.33333333333333337,4236.588945648858,0.027456728
0.0,-0.33333333333333337,4237.038366941539,0.02538029
-1.0,-0.33333333333333337,4237.704291888161,0.061789823
1.0,-0.33333333333333337,4237.704291888162,0.022517422
0.0,-0.6666666666666667,4780.702567435562,0.023778312
0.6666666666666665,-0.6666666666666667,4781.089664244296,0.026999162
-0.6666666666666667,-0.6666666666666667,4781.089664244297,0.026549696
-0.33333333333333337,-0.6666666666666667,4781.094012127365,0.021351866
0.33333333333333326,-0.6666666666666667,4781.094012127367,0.023672144
-1.0,-0.6666666666666667,4782.030691109394,0.076182218
1.0,-0.6666666666666667,4782.030691109395,0.026255338
0.6666666666666665,-1.0,5230.313947724885,0.021683318
-0.6666666666666667,-1.0,5230.313947724886,0.026895589
-0.33333333333333337,-1.0,5230.70435700836,0.028301517
0.33333333333333326,-1.0,5230.70435700836,0.026862901
0.0,-1.0,5233.0019623268,0.022296756
-1.0,-1.0,5236.5288023811845,2.05702142
1.0,-1.0,5236.528802381185,0.023217133
