dataset,Q,chi_deg,data,error,theory_raw,theory_profiled,norm_profile,chi2_shape_dataset,used_in_shape_fit
TASSO_220,22.0,5.4,0.285,0.0197989898732233,0.002406165084963054,0.22449889739852236,93.30153562675001,28.39172720286559,True
TASSO_220,22.0,9.0,0.423,0.0258069758011278,0.0038362584923692647,0.3579288083992132,93.30153562675001,28.39172720286559,True
TASSO_220,22.0,12.6,0.48,0.0283019433961698,0.0049778973310023135,0.4644454651748161,93.30153562675001,28.39172720286559,True
TASSO_220,22.0,16.2,0.466,0.0264196896272458,0.0053004913870105886,0.49454398598445,93.30153562675001,28.39172720286559,True
TASSO_220,22.0,19.8,0.455,0.0264196896272458,0.005127022479664046,0.4783590705455231,93.30153562675001,28.39172720286559,True
TASSO_220,22.0,23.4,0.388,0.0219544984001001,0.004669855541739488,0.4357046931993828,93.30153562675001,28.39172720286559,True
TASSO_220,22.0,27.0,0.362,0.020591260281974,0.00408972486778652,0.38157761045538946,93.30153562675001,28.39172720286559,True
TASSO_220,22.0,30.6,0.308,0.017701977290687,0.003440865054073682,0.32103799342949474,93.30153562675001,28.39172720286559,True
TASSO_220,22.0,34.2,0.299,0.0171918585382732,0.0028235799000446474,0.2634443406389909,93.30153562675001,28.39172720286559,True
MAC,29.0,5.4,0.43,0.021,0.003889341738631439,0.3657416384266822,94.03689955909543,46.247264606713976,True
MAC,29.0,9.0,0.58,0.025,0.006057386749767142,0.5696178693784483,94.03689955909543,46.247264606713976,True
MAC,29.0,12.6,0.589,0.019,0.006703802752954578,0.6304048261435771,94.03689955909543,46.247264606713976,True
MAC,29.0,16.2,0.56,0.013,0.006285886355749706,0.5911052638755235,94.03689955909543,46.247264606713976,True
MAC,29.0,19.8,0.493,0.01,0.005416837280515306,0.5093825832757815,94.03689955909543,46.247264606713976,True
MAC,29.0,23.4,0.424,0.01,0.004364346872496815,0.41040964849003525,94.03689955909543,46.247264606713976,True
MAC,29.0,27.0,0.36,0.01,0.0033328344704463275,0.3134094203444523,94.03689955909543,46.247264606713976,True
MARK II,29.0,5.4,0.468,0.0090620086073673,0.003889341738631439,0.36609153880360096,94.12686346569774,199.92511593428569,True
MARK II,29.0,9.0,0.576,0.0111946415753252,0.006057386749767142,0.5701628155542584,94.12686346569774,199.92511593428569,True
MARK II,29.0,12.6,0.589,0.0104651803615609,0.006703802752954578,0.6310079264283242,94.12686346569774,199.92511593428569,True
MARK II,29.0,16.2,0.557,0.0086092973000123,0.006285886355749706,0.5916707667685449,94.12686346569774,199.92511593428569,True
MARK II,29.0,19.8,0.489,0.0072470683727973,0.005416837280515306,0.5098699031189656,94.12686346569774,199.92511593428569,True
MARK II,29.0,23.4,0.405,0.0063812224534175,0.004364346872496815,0.41080228218445264,94.12686346569774,199.92511593428569,True
MARK II,29.0,27.0,0.347,0.0059093146810776,0.0033328344704463275,0.3137092551534725,94.12686346569774,199.92511593428569,True
TASSO_348,34.8,5.4,0.541,0.0279957139576757,0.005333838465813338,0.4621294028866231,86.64105706398715,10.992546989535729,True
TASSO_348,34.8,9.0,0.642,0.0326337248869938,0.00763396310455208,0.6614146329658692,86.64105706398715,10.992546989535729,True
TASSO_348,34.8,12.6,0.623,0.0314668079092875,0.007610842608052927,0.6594114487093384,86.64105706398715,10.992546989535729,True
TASSO_348,34.8,16.2,0.533,0.0273561693224764,0.006475781084112803,0.5610685184425059,86.64105706398715,10.992546989535729,True
TASSO_348,34.8,19.8,0.446,0.0222611769679862,0.005004607137899901,0.4336044526176227,86.64105706398715,10.992546989535729,True
TASSO_435,43.5,5.4,0.708,0.0398246155034797,0.007877721406218594,0.6253991820967819,79.38833450026527,13.107598109936148,True
TASSO_435,43.5,9.0,0.723,0.0382753184180092,0.00942872598140551,0.7485308521231626,79.38833450026527,13.107598109936148,True
TASSO_435,43.5,12.6,0.571,0.0310161248385416,0.008106510256536421,0.6435623478757446,79.38833450026527,13.107598109936148,True
TASSO_435,43.5,16.2,0.513,0.0273232501727009,0.005877073559971633,0.46657108166169287,79.38833450026527,13.107598109936148,True
TOPAZ_533,53.3,5.4,0.993,0.0458985664264146,0.010632156790462819,0.8990311279887437,84.55773797421669,6.41476051411233,True
TOPAZ_533,53.3,9.0,0.839,0.0363630801775647,0.010559168005482044,0.892859361433283,84.55773797421669,6.41476051411233,True
TOPAZ_533,53.3,12.6,0.642,0.0297399125755271,0.00765278922826365,0.6471025463354257,84.55773797421669,6.41476051411233,True
TOPAZ_595,59.5,5.4,1.037,0.0494933369252872,0.012125430922825916,1.024754107836352,84.51279912100031,7.361666360991951,True
TOPAZ_595,59.5,9.0,0.85,0.0380131556174964,0.010865234256329305,0.9182513601077698,84.51279912100031,7.361666360991951,True
TOPAZ_595,59.5,12.6,0.654,0.0311984871428087,0.006993109750054864,0.5910072795374954,84.51279912100031,7.361666360991951,True
OPAL_new,91.2,1.5,0.933,0.22,0.009021634249685115,0.8030779206425643,89.01690075393984,28.111800048516805,True
OPAL_new,91.2,2.5,1.289,0.088,0.014347382715029352,1.2771595432225598,89.01690075393984,28.111800048516805,True
OPAL_new,91.2,3.5,1.383,0.169,0.01746163130536133,1.5543803009112387,89.01690075393984,28.111800048516805,True
OPAL_new,91.2,4.5,1.34,0.157,0.017769114205305553,1.581751475699107,89.01690075393984,28.111800048516805,True
OPAL_new,91.2,5.5,1.258,0.087,0.016499152358288218,1.4687034080018748,89.01690075393984,28.111800048516805,True
OPAL_new,91.2,6.5,1.149,0.058,0.014440663229424739,1.2854630855147704,89.01690075393984,28.111800048516805,True
OPAL_new,91.2,7.5,1.037,0.035,0.01201656882371619,1.0696777143836318,89.01690075393984,28.111800048516805,True
OPAL_new,91.2,8.5,0.933,0.021,0.009661469773436092,0.8600340959591501,89.01690075393984,28.111800048516805,True
